id_aluno,idade_aluno,fase,turma,ponto_de_virada,pedra,ian,ida,ieg,iaa,ips,ipp,ipv,inde,ano
pm-1,11,2,H,0,Ametista,10.0,7.0,8.7,8.5,7.5,5.94,7.75,7.88,2020-01-01
pm-3,12,3,H,0,Ametista,10.0,5.5,8.9,7.92,7.5,8.12,8.11,7.86,2020-01-01
pm-4,10,1,D,0,Quartzo,5.0,0.0,4.1,8.0,6.88,7.19,7.75,5.08,2020-01-01
pm-5,10,2,M,0,Ametista,10.0,7.5,8.0,7.5,7.5,8.44,8.17,8.08,2020-01-01
pm-8,14,4,L,1,Ametista,10.0,7.33,9.9,8.33,4.38,8.75,8.94,8.38,2020-01-01
pm-10,13,3,B,0,Quartzo,10.0,0.0,5.2,5.83,3.75,7.97,6.83,5.16,2020-01-01
pm-11,8,0,A,1,Topázio,10.0,10.0,10.0,9.0,8.12,10.0,10.0,9.71,2020-01-01
pm-12,14,3,G,0,Quartzo,5.0,6.67,6.0,6.25,5.62,5.62,5.28,5.84,2020-01-01
pm-14,11,2,M,0,Ágata,10.0,0.0,7.6,8.0,6.88,8.44,7.92,6.43,2020-01-01
pm-15,12,2,D,0,Quartzo,5.0,0.0,4.0,8.5,7.5,8.12,7.25,5.16,2020-01-01
pm-17,13,1,G,0,Ametista,5.0,10.0,6.8,9.5,7.5,6.56,7.75,7.77,2020-01-01
pm-18,14,3,E,0,Ágata,5.0,6.5,7.0,9.58,7.5,7.08,7.94,7.21,2020-01-01
pm-28,13,3,J,1,Topázio,10.0,9.0,9.6,9.58,6.88,10.0,9.94,9.35,2020-01-01
pm-30,7,0,C,0,Ágata,10.0,4.75,10.0,7.92,7.5,2.5,6.92,7.13,2020-01-01
pm-33,13,3,E,0,Ágata,10.0,8.67,4.5,6.67,7.5,7.08,6.28,7.01,2020-01-01
pm-34,12,2,C,0,Ametista,5.0,7.0,9.3,8.5,6.88,8.12,7.94,7.7,2020-01-01
pm-35,18,7,B,0,Ágata,5.0,5.0,6.1,8.75,6.25,7.66,8.29,6.64,2020-01-01
pm-36,14,3,C,0,Ametista,5.0,8.0,9.9,9.58,7.5,8.75,8.22,8.31,2020-01-01
pm-37,10,2,N,0,Ágata,10.0,2.5,7.7,10.0,4.38,6.46,7.78,6.68,2020-01-01
pm-39,13,3,F,0,Ametista,10.0,8.33,9.4,6.25,7.5,8.54,6.78,8.13,2020-01-01
